Sr. No.,Name,Category,Day 1,Day 2,Day 3,Day 4,Day 5
1,Aayman Tamang,Team Singletrack,3:39:13,5:07:24,4:30:11,5:05:00,4:37:45
2,Alka Lad,Team Lad,7:34:00,10:47:20,DNF,DNF,DNF
3,Aman Puri,Men Solo,6:42:34,9:52:38,9:47:28,9:50:48,10:56:40
4,Andre,Masters Solo,6:15:56,8:41:33,9:15:00,8:46:01,9:48:57
5,Andreas Hartman,Men Solo,3:08:00,4:43:27,3:56:55,4:47:46,4:16:53
6,Ankush,Men Solo,6:29:50,8:25:40,7:44:14,9:29:13,8:34:50
7,Aparna,Team Aparna,7:34:00,10:47:20,11:46:44,DNF,11:37:47
8,Arun Malik,Masters Solo,6:48:07,7:47:11,7:41:40,8:00:17,7:36:04
9,Bhairabh,Men Solo,3:48:42,5:59:33,4:45:50,5:17:29,4:50:30
10,BN Jha,Masters Solo,6:54:40,8:52:15,9:16:42,9:52:38,9:53:43
11,Budhi Bahadur Tamang,Team Singletrack,3:39:12,5:07:24,4:30:11,5:05:00,4:37:46
12,CJ Devappa,Team Army C,4:26:39,6:12:49,5:34:43,7:02:24,6:11:51
13,Cory Wallace,Men Solo,3:02:04,4:29:17,3:33:00,4:40:18,4:03:12
14,Danu,Men Solo,DNF,8:00:45,DNF,8:22:28,9:30:24
15,Datta Patil,Masters Solo,7:39:00,8:58:22,8:56:32,9:52:54,9:18:23
16,Devender Thakur,Men Solo,5:16:58,5:55:12,4:46:05,DNF,4:52:57
17,Dinesh Kumar,Team Army E,4:52:50,6:56:31,6:23:31,9:26:30,5:28:16
18,Ganesh,Team Airforce B,DNF,DNF,DNF,DNF,DNF
19,Gaurav Pathak,Team Airforce B,7:04:18,9:37:51,8:53:25,11:50:50,10:49:46
20,Gerry McCuaig,Masters Solo,4:37:19,6:21:54,6:37:33,6:46:10,9:12:23
21,Gurman,Men Solo,5:32:42,7:35:48,6:22:28,8:04:37,9:11:52
22,Jacub,Men Solo,5:56:39,7:20:57,7:10:22,DNF,7:02:05
23,Jagan,Men Solo,4:28:56,8:11:27,5:46:25,10:03:52,9:35:26
24,Jaideep,Team Airforce A,6:04:55,8:08:22,8:11:07,7:43:26,8:46:09
25,Jayant,Team Impacto,5:40:36,7:51:23,7:14:28,8:13:29,6:49:09
26,Johan,Masters Solo,5:19:45,8:04:42,8:10:56,8:19:41,7:37:47
27,John Funk,Masters Solo,4:16:58,6:19:48,5:55:14,6:26:55,6:28:23
28,Kalyan Singh,Team Army E,4:52:47,10:47:20,DNF,DNF,DNF
29,KV Reddy,Men Solo,4:16:59,6:19:03,4:57:00,5:21:05,4:38:07
30,Major Manoj Verma,Masters Solo,6:43:08,8:50:56,8:57:10,10:55:20,9:36:11
31,Makhan Singh,Men Solo,3:54:51,5:15:08,4:29:34,5:30:28,4:41:16
32,Manik Verma,Men Solo,5:22:57,6:59:43,6:23:39,7:59:15,6:19:02
33,Manjit,Team Army B,3:58:18,5:34:56,5:03:03,6:23:08,5:26:20
34,Mantosh Kumar,Men Solo,5:18:39,7:21:00,5:57:21,9:50:52,6:49:15
35,Manuel Wesseinbacher,Men Solo,3:10:04,4:43:26,3:50:18,4:47:48,4:16:52
36,Michael McLean,Masters Solo,4:46:47,6:36:58,5:51:00,6:46:17,6:15:14
37,Mohamed Affan,Team Aparna,7:34:00,10:47:20,DNF,9:57:07,DNF
39,Monica,Open Women Solo,8:03:06,10:47:20,9:55:20,11:21:41,10:58:28
38,Mukesh,Team Army D,4:12:39,5:45:48,5:16:13,6:22:50,5:05:47
40,Mukesh Kumar,Men Solo,6:49:50,8:52:20,8:09:36,9:52:53,9:44:58
41,Nand Kishore Bhurri,Masters Solo,DNF,DNF,DNF,DNF,DNF
42,Naresh Barman,Team Army A,3:50:32,5:14:58,4:54:19,5:44:51,5:01:18
43,Naveen Kumar Shivanan,Men Solo,5:52:03,7:55:11,8:02:51,7:28:54,7:25:23
44,Navendu Lad,Team lad,7:34:00,10:47:20,DNF,DNF,11:45:17
45,Palash,Team Impacto,6:47:05,10:17:20,9:17:52,DNF,DNF
46,Peter Holl,Masters Solo,7:18:00,9:56:26,11:35:03,10:10:08,9:15:31
47,Purna Bahadur,Team Army A,3:50:33,5:15:07,4:54:22,5:44:51,5:01:19
48,Pushpak,Men Solo,6:25:47,8:26:31,9:52:14,8:08:43,8:47:24
49,Ramakrishan,Team Army C,4:26:40,6:12:35,5:32:54,7:02:10,6:11:53
50,Ratnesh,Men Solo,7:34:00,10:47:20,8:06:07,9:12:52,9:53:37
51,Reimund,Team Merida,4:49:16,6:18:29,5:58:42,6:22:12,6:32:53
52,Salman,Men Solo,6:54:06,10:14:15,11:46:39,10:24:00,9:49:41
53,Saurabh,Team Airforce A,6:04:57,8:08:25,8:11:10,DNF,DNF
54,Shishir,Team Army B,3:58:19,5:34:50,5:03:25,6:23:00,5:25:11
55,Shyam,Masters Solo,DNF,DNF,DNF,DNF,DNF
56,Sonia,Open Women Solo,5:43:08,8:04:08,8:58:34,8:36:34,9:12:00
57,Supriya,Open Women Solo,DNF,DNF,DNF,DNF,DNF
58,Suraj Malik,Team Army D,4:12:43,5:44:15,5:15:35,6:22:50,5:04:52
59,Surendra Singh,Men Solo,4:13:00,5:30:30,4:31:40,5:30:52,5:09:00
60,Urgain,Men Solo,6:34:55,8:33:01,11:35:03,10:20:30,9:31:06
61,Velez Juan Jacob,Men Solo,3:50:21,4:52:29,4:19:03,5:06:48,4:30:22
62,Venkatesh Bokka,Men Solo,7:37:00,10:47:20,11:38:15,11:21:38,11:19:11
63,Viju Varghese,Men Solo,5:34:23,7:23:47,7:25:20,7:33:56,6:50:00
64,Wolfgang Krenn,Men Solo,3:31:46,DNF,DNF,DNF,DNF
65,WolfGang Renner,Team Merida,4:49:18,6:18:33,5:58:45,6:22:13,6:32:55
66,Yogesh Tiwari,Men Solo,7:22:39,8:32:46,8:10:56,8:44:00,10:33:29
